id;title;label_cate;label_code;label_attr;identify;rule_readme;rule_expression
1;less upon;RULE;duh verifiable;congressman geez valiantly;bonnet bravely sans;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;magnitude circa whoa;ACTIVITY;pollute;dramatic shamble cluttered;however acidify;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;nocturnal gateway;STAT;reopen till;absolute actualize;crown;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;fame gee up;SEARCH;huge after filthy;warmly psst unabashedly;monopolise;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;suburban;ACTIVITY;except considering;pro now blog;herb;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;fooey;ACTIVITY;until;so adhere that;calcify shortwave eek;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;er psst;SEARCH;up;hm;masterpiece inasmuch;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;big-hearted;RULE;ethical;under disincentivize;trustworthy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;against overstretch fibroblast;STAT;pretty;sprout in zowie;yum;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;pfft a displease;RULE;pfft nervously however;er ack how;accidentally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
