id;title;description;cate_code;icon;created_at;updated_at
1;attack essay eulogise;shop meh;hearken;before;2024-08-16T02:06:38;2024-08-16T00:44:20
2;how than;er;purple abduct gelding;ack sure-footed uh-huh;2024-08-16T02:33:53;2024-08-15T20:46:29
3;mechanically;foul;shrilly;notwithstanding calmly pleasing;2024-08-15T09:03:35;2024-08-15T19:10:38
4;whoa slumber;tapioca where before;credit how buggy;anxious hmph though;2024-08-16T05:03:33;2024-08-16T07:32:28
5;fooey perfectly;these embarrassed;duh limp;sociology;2024-08-15T20:12:43;2024-08-15T10:11:24
6;ugh whether;worthy;over unconscious;lumpy likewise behind;2024-08-15T23:21:51;2024-08-15T20:58:31
7;incomplete situate supposing;shadowy geez brain;vastly over quiet;actual;2024-08-15T10:27:02;2024-08-15T10:20:50
8;lovingly whoever ample;offensively hard-to-find lonely;crusader vaccinate excitedly;neighbour new ew;2024-08-15T17:58:24;2024-08-15T23:33:52
9;anti;past;per incidentally;forenenst ouch with;2024-08-16T06:03:30;2024-08-15T19:05:58
10;uh-huh sector ick;as;emit forecast;now yuppify;2024-08-16T08:42:26;2024-08-16T05:17:10
