id;code;stock;description;percent;max_discount_amount;start_date;end_date;created_at
1;yum toy;23309;modern;11572;30399.69;2024-08-18T06:17:52;2024-08-18T11:01:49;2024-08-18T22:19:33
2;wilted acidly spiderling;23309;crossly ah;23776;14443.16;2024-08-18T16:03:53;2024-08-18T13:19:04;2024-08-18T13:45:26
3;out hmph;30523;into slobber;21157;30003.81;2024-08-18T04:37:14;2024-08-18T04:15:33;2024-08-18T13:21:35
4;bivouac;5367;restfully angrily since;30671;18145.5;2024-08-18T13:17:42;2024-08-18T03:45:16;2024-08-18T11:37:43
5;um readjust;16995;whoever recent whether;26207;22785.52;2024-08-18T14:39:14;2024-08-18T03:06:52;2024-08-18T05:37:12
6;incidentally;3716;croak before;9139;15413.21;2024-08-18T10:52:17;2024-08-18T15:23:32;2024-08-18T23:59:04
7;versus plus;8722;grade;24792;22265.39;2024-08-18T15:07:15;2024-08-18T18:19:15;2024-08-18T07:31:39
8;chutney how cookie;16916;uh-huh;26388;8510.12;2024-08-18T01:06:44;2024-08-18T09:20:51;2024-08-18T05:42:43
9;whenever;30540;knot briskly forenenst;15998;12925.55;2024-08-18T04:28:10;2024-08-18T07:13:03;2024-08-18T13:03:15
10;gah rewire boiling;3554;athwart though;26835;1738.96;2024-08-18T15:21:35;2024-08-18T15:30:08;2024-08-18T01:40:18
