id;order_id;product_id;count;price;discount
1;mealy sans;honestly;10721;12566.67;83.84
2;deliquesce achiever doom;enormously cow;12872;856.81;502.65
3;instantly flush;immediately perfectly;1516;29212.8;15156.07
4;ha innocently;if ha as;9941;18836.43;510.91
5;clump for;eek drat fraternise;8164;23134.02;4748.99
6;even;phew forenenst winding;3078;20892.86;4008.41
7;husky palatable;towards whereas;20744;7807.61;21300.27
8;art now roughen;phew radish;12369;1808.95;27537.71
9;broker;doze excepting spectacular;10339;29404.15;12249.86
10;hunch;enfranchise;26107;10266.91;14967.9
