id;title;trans_code;description;images;keywords;metadata;guide_price;price;show_price;discount;stock;is_physical;is_available;is_featured;status;sell_count;stock_count;shelves_status;shelves_date;created_at;updated_at
1;before;green officially yuck;zowie not ah;before;regarding;../fake-data/blob/hipster.txt;13435.95;18981.14;7747.63;8498;11880;true;false;false;PRE;27177;23057;true;2024-08-15T22:18:05;2024-08-16T03:35:26;2024-08-15T17:23:50
2;scarily apud;revitalisation;boot complex dimly;purple;oddly wrongly;../fake-data/blob/hipster.txt;18459.19;15817.89;15336.14;1906;15407;true;true;true;DOWN;18834;27161;false;2024-08-15T20:47:10;2024-08-15T22:25:02;2024-08-16T00:58:47
3;inasmuch likewise but;lasting;per to;hence;next at twitter;../fake-data/blob/hipster.txt;29364.74;16362.08;31472.15;4117;14277;true;true;false;DOWN;26218;6400;false;2024-08-15T12:04:01;2024-08-16T06:00:35;2024-08-16T08:40:40
4;generally underpass;linguistics partially;peen;attraction until phew;as why;../fake-data/blob/hipster.txt;7257.2;22508.46;26526.39;12529;9348;true;false;false;HOT;27381;29223;true;2024-08-15T19:15:50;2024-08-15T21:41:53;2024-08-15T11:43:57
5;manipulation cooked meanwhile;immediately;bah heavily separately;corny;alongside;../fake-data/blob/hipster.txt;20371.48;22486.04;9137.56;31063;1237;true;true;false;HOT;15142;9194;true;2024-08-16T00:44:26;2024-08-16T02:59:21;2024-08-15T12:25:58
6;content yearly cheerfully;thistle whose carpenter;or swiftly drat;unto whenever minus;amid;../fake-data/blob/hipster.txt;32611.27;32741.87;29357.73;670;14397;true;false;true;HOT;21503;26240;true;2024-08-15T19:30:54;2024-08-16T04:18:27;2024-08-16T05:35:27
7;goldbrick;which aha;indeed;towards bikini;upon fib;../fake-data/blob/hipster.txt;32759.06;12399.36;15781.24;5726;11141;false;false;false;HOT;5307;21943;false;2024-08-15T19:07:40;2024-08-15T15:49:02;2024-08-15T11:01:45
8;rev;dry whose;phooey lest;ugh about;consequently legitimize;../fake-data/blob/hipster.txt;24708.43;23542.49;6784.26;17069;26812;true;false;false;DOWN;1369;9662;false;2024-08-15T23:25:23;2024-08-15T10:11:56;2024-08-16T07:36:33
9;marmalade huzzah porter;hence;afore meanwhile;so wealthy;sleepily about pinot;../fake-data/blob/hipster.txt;1493.67;7608.06;10647.33;14965;2914;true;true;true;PRE;16476;1593;true;2024-08-15T23:47:54;2024-08-16T02:52:42;2024-08-15T12:21:24
10;mosque zowie anenst;once;concerning unblock until;unsightly envelope;transit;../fake-data/blob/hipster.txt;25499.98;31593.3;14779.28;32622;27095;true;true;true;EXP;24640;7845;false;2024-08-16T04:42:42;2024-08-15T17:31:39;2024-08-15T12:25:50
