id;amount;reason;created_at;updated_at
1;25517.48;exactly usually annihilate;2024-08-15T13:07:30;2024-08-16T02:12:40
2;32438.03;ew linseed where;2024-08-16T02:36:58;2024-08-15T13:56:38
3;12254.52;because;2024-08-16T02:12:03;2024-08-15T15:39:49
4;8593.28;direct prudent grouchy;2024-08-15T23:39:25;2024-08-16T05:58:33
5;10725.23;mid;2024-08-16T06:21:16;2024-08-15T10:54:53
6;23162.57;huzzah cloudy;2024-08-15T22:44:36;2024-08-15T20:51:02
7;28696.18;calmly lowball;2024-08-15T11:51:11;2024-08-16T01:37:21
8;17394.27;abaft mmm;2024-08-16T07:15:43;2024-08-15T11:40:05
9;14008.49;once anesthetize;2024-08-16T05:14:46;2024-08-16T02:58:34
10;24086.35;anenst inasmuch;2024-08-15T17:45:41;2024-08-15T17:17:29
